Ticket,Open,Type,Volume,Symbol,Price_open,SL,TP,Close,Price_close,Swap,Commissions,Profit,Pips,Trade duration in seconds
57028114,2022-11-24 19:02:41,buy,2.76,XAUUSD,1757.14,1755.0,1758.5,2022-11-24 19:46:15,1754.98,0.0,-4.84,-596.16,-2.16,2614
56961536,2022-11-24 02:46:10,buy,0.9,XAUUSD,1753.88,1748.3,1759.4,2022-11-24 07:12:21,1754.29,0.0,-1.58,36.9,0.41,15971
56942560,2022-11-23 20:47:51,buy,6.0,US100.cash,11800.4,11715.0,11879.0,2022-11-24 01:47:15,11857.3,-0.99,0.0,341.4,56.9,17964
56916815,2022-11-23 17:06:56,buy,0.76,XAUUSD,1742.42,1735.3,1750.6,2022-11-23 21:03:07,1751.86,0.0,-1.33,717.44,9.44,14171
56939128,2022-11-23 19:59:17,sell,8.0,US100.cash,11730.7,11792.0,11669.0,2022-11-23 20:38:50,11792.0,0.0,0.0,-490.4,-61.3,2373
56916597,2022-11-23 17:06:24,buy,7.6,XAUUSD,1741.96,0.0,0.0,2022-11-23 17:06:41,1742.5,0.0,-13.24,410.4,0.54,17
56896520,2022-11-23 15:44:33,sell,0.8,XAUUSD,1734.6,1740.0,1729.0,2022-11-23 16:45:01,1739.78,0.0,-1.39,-414.4,-5.18,3628
56897102,2022-11-23 15:46:43,sell,10.0,US100.cash,11717.1,11765.0,11675.0,2022-11-23 16:37:17,11763.7,0.0,0.0,-466.0,-46.6,3034
56893589,2022-11-23 15:31:29,sell,1.0,US100.cash,11742.0,0.0,0.0,2022-11-23 15:34:57,11748.7,0.0,0.0,-6.7,-6.7,208
56887328,2022-11-23 14:46:27,buy,20.0,US100.cash,11759.9,11730.0,11780.0,2022-11-23 15:23:48,11730.1,0.0,0.0,-596.0,-29.8,2241
56838647,2022-11-23 03:31:13,sell,16.0,US100.cash,11695.7,11728.0,11668.0,2022-11-23 09:47:23,11728.2,0.0,0.0,-520.0,-32.5,22570
56839325,2022-11-23 03:54:05,sell,1.5,XAUUSD,1739.44,1749.0,1736.0,2022-11-23 06:03:18,1735.96,0.0,-2.6,522.0,3.48,7753
56841851,2022-11-23 05:01:40,buy,2.0,XAUUSD,1740.92,1738.5,1743.5,2022-11-23 05:48:18,1738.45,0.0,-3.48,-494.0,-2.47,2798
56839304,2022-11-23 03:52:30,sell,15.0,XAUUSD,1739.36,0.0,0.0,2022-11-23 03:53:38,1739.5,0.0,-26.1,-210.0,-0.14,68
56807846,2022-11-22 18:04:30,buy,8.0,US100.cash,11608.7,11550.0,11672.0,2022-11-22 20:34:33,11669.4,0.0,0.0,485.6,60.7,9003
56791868,2022-11-22 16:52:56,sell,5.0,US100.cash,11508.6,11613.0,11426.0,2022-11-22 17:49:23,11612.9,0.0,0.0,-521.5,-104.3,3387
56772709,2022-11-22 15:16:26,buy,8.0,US100.cash,11596.4,11534.0,11650.0,2022-11-22 16:39:27,11533.3,0.0,0.0,-504.8,-63.1,4981
56719781,2022-11-22 04:09:07,sell,25.0,US100.cash,11575.6,11594.0,11553.0,2022-11-22 07:54:02,11553.0,0.0,0.0,565.0,22.6,13495
56668477,2022-11-21 17:14:21,sell,7.0,US100.cash,11598.1,11669.0,11527.0,2022-11-21 19:57:19,11527.5,0.0,0.0,494.2,70.6,9778
56602972,2022-11-21 07:31:22,sell,30.0,US100.cash,11646.3,11660.0,11622.0,2022-11-21 09:48:09,11622.0,0.0,0.0,729.0,24.3,8207
56600550,2022-11-21 06:25:44,buy,30.0,US100.cash,11650.3,11630.0,11670.0,2022-11-21 07:31:14,11645.3,0.0,0.0,-150.0,-5.0,3930
